Nr,Abkürzung,Name,Hauptgruppe,Name_English
1,Ss,reiner Sand,Sand,pure sand
2,Su2,Schwach schluffiger Sand,Sand,slightly silty sand
3,Sl2,Schwach lehmiger Sand,Sand,slightly loamy sand
4,Sl3,Mittel lehmiger Sand,Sand,moderately loamy sand
5,St2,Schwach toniger Sand,Sand,slightly clayey sand
6,Su3,Mittel schluffiger Sand,Sand,moderately silty sand
7,Su4,Stark schluffiger Sand,Sand,strongly silty sand
8,Slu,Schluffig-lehmiger Sand,Sand,silty-loamy sand
9,Sl4,Stark lehmiger Sand,Sand,strongly loamy sand
10,St3,Mittel toniger Sand,Sand,moderately clayey sand
11,Ls2,Schwach sandiger Lehm,Lehm,slightly sandy loam
12,Ls3,Mittel sandiger Lehm,Lehm,moderately sandy loam
13,Ls4,Stark sandiger Lehm,Lehm,strongly sandy loam
14,Lt2,Schwach toniger Lehm,Lehm,slightly clayey loam
15,Lts,Sandig-toniger Lehm,Lehm,sandy-clayey loam
16,Ts4,Stark sandiger Ton,Ton,strongly sandy clay
17,Ts3,Mittel sandiger Ton,Ton,moderately sandy clay
18,Uu,Reiner Schluff,Schluff,pure silt
19,Us,Sandiger Schluff,Schluff,sandy silt
20,Ut2,Schwach toniger Schluff,Schluff,slightly clayey silt
21,Ut3,Mittel toniger Schluff,Schluff,moderately clayey silt
22,Uls,Sandig-lehmiger Schluff,Schluff,sandy-loamy silt
23,Ut4,Stark toniger Schluff,Schluff,strongly clayey silt
24,Lu,Schluffiger Lehm,Lehm,silty loam
25,Lt3,Mittel toniger Lehm,Lehm,moderately clayey loam
26,Tu3,Mittel schluffiger Ton,Ton,moderately silty clay
27,Tu4,Stark schluffiger Ton,Ton,strongly silty clay
28,Ts2,Schwach sandiger Ton,Ton,slightly sandy clay
29,Tl,Lehmiger Ton,Ton,loamy clay
30,Tu2,Schwach schluffiger Ton,Ton,slightly silty clay
31,Tt,Reiner Ton,Ton,pure clay
